airport_code,aircraftmov_intl,aircraftmov_domestic,pax_intl,pax_domestic,freight_intl,freight_domestic,month,year
RAJ,0,194,0,21491,0,7,3,2019
DIB,0,340,0,32882,0,54,3,2019
GAU,26,3098,452,312795,0,1391,3,2020
IXS,0,234,0,27191,0,48,3,2020
SXR,0,1315,0,168371,0,338,3,2020
HBX,0,470,0,23919,0,6,3,2020
IXT,0,14,0,190,0,0,3,2020
RDP,0,138,0,17278,0,0,3,2020
IXE,188,729,23082,68454,212,166,3,2020
ATQ,282,811,39848,81024,93,32,3,2020
JSA,0,236,0,12422,0,0,3,2020
PNQ,50,3342,5521,425022,49,2239,3,2020
DED,0,820,0,81567,0,10,3,2020
JRH,0,96,0,12433,0,0,3,2020
HJR,0,60,0,2862,0,0,3,2020
IXL,0,292,0,32948,0,144,3,2020
BUP,0,22,0,794,0,0,3,2020
GOI,338,3401,58189,397628,54,253,3,2020
BHJ,0,48,0,2475,0,0,3,2020
DHM,0,160,0,6605,0,0,3,2020
MYQ,0,282,0,10050,0,0,3,2020
TCR,0,228,0,11712,0,0,3,2020
IXA,0,888,0,96848,0,164,3,2020
KNU,0,100,0,10036,0,13,3,2020
AMD,799,4520,91584,502235,686,3380,3,2020
TEZ,0,16,0,103,0,0,3,2020
SLV,0,76,0,310,0,0,3,2020
MAA,1886,8445,204260,838903,19615,4949,3,2020
VGA,0,916,0,57141,0,114,3,2020
IXP,0,0,0,0,0,0,3,2020
IXC,42,1472,5884,164419,0,509,3,2020
GOP,0,358,0,35198,0,0,3,2020
BLR,1395,13256,124866,1416537,15721,8477,3,2020
VDY,0,92,0,3306,0,0,3,2020
DIB,0,334,0,36134,0,55,3,2020
IXD,0,383,0,36496,0,0,3,2020
UDR,0,780,0,71387,0,1,3,2020
PNY,0,64,0,3561,0,0,3,2020
IXY,0,124,0,5442,0,0,3,2020
DMU,0,186,0,13369,0,38,3,2020
VAMA,0,6,0,22,0,0,3,2020
IXG,0,595,0,21920,0,0,3,2020
IXJ,0,932,0,93513,0,125,3,2020
IXI,0,46,0,1360,0,0,3,2020
IXM,136,834,14305,57936,108,146,3,2020
CCU,1157,9634,100157,1150354,3390,5486,3,2020
IXR,0,1212,0,150874,0,326,3,2020
VNS,88,1790,8852,196414,0,194,3,2020
GAY,130,202,9108,7588,0,0,3,2020
JRG,0,284,0,15532,0,12,3,2020
BDQ,0,542,0,54739,0,218,3,2020
JAI,179,2323,17893,252458,140,942,3,2020
PGH,0,50,0,1798,0,0,3,2020
COK,1250,2090,157257,191180,3518,692,3,2020
RPR,0,1166,0,122570,0,420,3,2020
PAT,0,2360,0,302525,0,729,3,2020
IXB,18,1498,672,192433,0,427,3,2020
TRZ,417,351,52700,15437,498,0,3,2020
CJB,92,1310,8071,135436,157,588,3,2020
AGX,0,144,0,2609,0,7,3,2020
DIU,0,100,0,1989,0,0,3,2020
HYD,1256,10132,140442,904745,5808,3779,3,2020
LKO,235,2128,27640,262554,139,642,3,2020
IDR,15,1594,1439,175017,17,614,3,2020
ISK,0,190,0,6331,0,0,3,2020
IXZ,0,735,0,89621,0,0,3,2020
NDC,0,138,0,8718,0,0,3,2020
DEL,5984,22172,769347,2755968,40213,19697,3,2020
LUH,0,29,0,880,0,0,3,2020
CDP,0,180,0,7635,0,0,3,2020
KQH,0,134,0,7712,0,0,3,2020
JLR,0,330,0,17700,0,0,3,2020
SXV,0,46,0,1884,0,0,3,2020
VTZ,84,1339,4482,137342,19,439,3,2020
IXU,0,496,0,31721,0,96,3,2020
SHL,0,48,0,2447,0,0,3,2020
VAJJ,0,1625,0,9986,0,22,3,2020
JLG,0,40,0,1004,0,0,3,2020
JGB,0,4,0,8,0,0,3,2020
RJA,0,704,0,24395,0,0,3,2020
CNN,233,510,32960,26726,0,0,3,2020
TIR,0,574,0,44575,0,0,3,2020
JDH,0,482,0,53051,0,0,3,2020
IMF,0,657,0,78604,0,376,3,2020
AGR,0,4,0,85,0,0,3,2020
BOM,3967,14117,471278,1671216,39477,16460,3,2020
PBD,0,114,0,4880,0,0,3,2020
PYG,0,0,0,0,0,0,3,2020
KUU,0,103,0,1403,0,0,3,2020
JGA,0,38,0,2556,0,0,3,2020
BHU,0,128,0,2540,0,0,3,2020
SAG,0,540,0,40362,0,0,3,2020
BHO,0,793,0,66834,0,112,3,2020
CCJ,880,389,114028,22889,1867,33,3,2020
BBI,20,1985,2163,184215,4,774,3,2020
STV,22,874,1744,72428,0,566,3,2020
BKB,0,48,0,1976,0,0,3,2020
KLH,0,218,0,8548,0,0,3,2020
AJL,0,277,0,16882,0,24,3,2020
NNS,0,49,0,425,0,0,3,2020
GWL,0,234,0,10093,0,0,3,2020
TRV,725,954,86674,75453,1490,100,3,2020
NAG,65,1314,3295,152692,31,429,3,2020
AIP,0,36,0,1970,0,0,3,2020
RAJ,0,158,0,14781,0,3,3,2020
GAU,0,3314,0,343810,0,2070,3,2021
QAH,0,68,0,2668,0,0,3,2021
IXS,0,369,0,37268,0,68,3,2021
SXR,0,2131,0,301887,0,841,3,2021
HBX,0,524,0,23300,0,9,3,2021
IXT,0,20,0,63,0,0,3,2021
RDP,0,148,0,20185,0,0,3,2021
IXE,190,898,26558,67020,58,234,3,2021
ATQ,273,986,33456,105923,43,58,3,2021
JSA,0,112,0,5373,0,0,3,2021
PNQ,19,2378,629,237814,0,2261,3,2021
DED,0,1222,0,111086,0,8,3,2021
JRH,0,82,0,5625,0,1,3,2021
HJR,0,8,0,263,0,0,3,2021
IXL,0,582,0,62567,0,279,3,2021
BUP,0,2,0,4,0,0,3,2021
GOI,36,4434,4616,593019,4,548,3,2021
BHJ,0,22,0,817,0,0,3,2021
DHM,0,301,0,14494,0,0,3,2021
MYQ,0,446,0,14327,0,0,3,2021
TCR,0,234,0,13632,0,0,3,2021
IXA,0,718,0,91208,0,259,3,2021
KNU,0,136,0,11607,0,31,3,2021
AMD,423,5342,40904,515709,3684,3210,3,2021
TEZ,0,58,0,493,0,0,3,2021
SLV,0,80,0,196,0,0,3,2021
HSS,0,96,0,99,0,0,3,2021
MAA,1533,7900,106056,741962,26770,8904,3,2021
VGA,59,962,7100,62373,0,417,3,2021
IXP,0,14,0,562,0,0,3,2021
VOBG,0,0,0,0,0,0,3,2021
IXC,10,2148,1361,234079,0,934,3,2021
GOP,0,556,0,52942,0,0,3,2021
BLR,1355,13992,84145,1406763,21966,12457,3,2021
VDY,0,70,0,3366,0,0,3,2021
DIB,0,611,0,55769,0,76,3,2021
IXD,0,526,0,40216,0,0,3,2021
UDR,0,714,0,69094,0,0,3,2021
PNY,0,33,0,106,0,0,3,2021
IXY,0,212,0,10831,0,0,3,2021
DMU,0,376,0,18606,0,38,3,2021
VAMA,0,0,0,0,0,0,3,2021
IXG,0,744,0,30819,0,6,3,2021
IXJ,0,1004,0,104459,0,106,3,2021
GBI,0,190,0,8183,0,0,3,2021
IXI,0,70,0,1746,0,0,3,2021
KBK,0,0,0,0,0,0,3,2021
IXM,60,605,9714,66590,34,245,3,2021
CCU,616,9369,31034,1112980,4201,8538,3,2021
IXR,0,1248,0,155308,0,730,3,2021
JRG,0,444,0,32772,0,8,3,2021
VNS,31,1641,3445,170829,0,322,3,2021
GAY,0,74,0,6888,0,0,3,2021
BDQ,0,340,0,39452,0,471,3,2021
JAI,142,2579,18726,260541,20,1312,3,2021
PGH,0,52,0,1519,0,0,3,2021
COK,1018,2371,141328,218818,3324,1157,3,2021
RPR,0,1544,0,145358,0,608,3,2021
PAT,0,2662,0,291916,0,1158,3,2021
IXB,6,1626,171,235276,0,602,3,2021
TRZ,245,309,29739,18138,414,0,3,2021
CJB,32,1106,4635,119029,68,681,3,2021
AGX,0,130,0,1664,0,5,3,2021
DIU,0,110,0,2122,0,0,3,2021
HYD,949,10010,100558,995053,6796,5118,3,2021
LKO,394,2571,56196,265612,90,1059,3,2021
IDR,0,1547,0,136095,10,1401,3,2021
ISK,0,330,0,10472,0,26,3,2021
IXZ,0,898,0,94660,0,544,3,2021
NDC,0,66,0,4342,0,0,3,2021
DEL,4914,24691,502574,2910096,51631,29184,3,2021
LUH,0,38,0,540,0,0,3,2021
CDP,0,216,0,7845,0,0,3,2021
KQH,0,322,0,16488,0,0,3,2021
JLR,0,294,0,17430,0,0,3,2021
SXV,0,68,0,3167,0,0,3,2021
VTZ,1,1519,0,139229,0,585,3,2021
IXU,0,330,0,19269,0,107,3,2021
SHL,0,62,0,3071,0,0,3,2021
VAJJ,0,1244,0,6755,0,17,3,2021
JLG,0,42,0,637,0,0,3,2021
JGB,0,118,0,3912,0,0,3,2021
RJA,0,666,0,27164,0,0,3,2021
CNN,328,458,44116,24326,0,0,3,2021
TIR,0,855,0,65110,0,0,3,2021
JDH,0,358,0,47259,0,0,3,2021
IMF,2,838,12,86333,0,734,3,2021
AGR,0,30,0,1002,0,0,3,2021
BOM,2723,14323,176444,1404250,51579,18948,3,2021
PBD,0,83,0,2412,0,0,3,2021
PYG,0,108,0,7063,0,0,3,2021
KUU,0,84,0,1692,0,0,3,2021
SAG,0,334,0,17306,0,0,3,2021
JGA,0,40,0,3406,0,0,3,2021
BHU,0,70,0,1954,0,0,3,2021
BHO,0,898,0,69455,0,263,3,2021
CCJ,772,455,109327,33002,643,86,3,2021
BBI,6,1938,2,220586,0,1106,3,2021
STV,0,1030,0,95478,0,978,3,2021
BKB,0,60,0,2207,0,0,3,2021
KLH,0,246,0,9582,0,0,3,2021
AJL,0,173,0,16742,0,22,3,2021
NNS,0,0,0,0,0,0,3,2021
GWL,0,208,0,10835,0,0,3,2021
TRV,601,740,77202,58937,1132,148,3,2021
NAG,4,1284,0,106140,0,931,3,2021
AIP,0,66,0,3600,0,0,3,2021
RAJ,0,366,0,33747,0,31,3,2021
IXX,0,34,0,1323,0,0,3,2021
GAU,2,3521,0,388178,0,1830,3,2022
QAH,0,62,0,2734,0,0,3,2022
IXS,0,334,0,35822,0,109,3,2022
SXR,3,2382,345,363330,0,1475,3,2022
BPM,0,155,0,297,0,0,3,2022
HBX,0,406,0,20571,0,6,3,2022
TEI,0,46,0,1049,0,0,3,2022
IXT,0,54,0,667,0,0,3,2022
RDP,0,276,0,38231,0,10,3,2022
IXE,266,850,38271,102377,135,219,3,2022
ATQ,329,1169,49152,145994,78,65,3,2022
JSA,0,112,0,10240,0,0,3,2022
COH,0,0,0,0,0,0,3,2022
PNQ,92,3813,10942,542671,5,2865,3,2022
DED,0,1545,0,123711,0,73,3,2022
JRH,0,72,0,9760,0,3,3,2022
HJR,0,24,0,1042,0,0,3,2022
IXL,0,730,0,86128,0,398,3,2022
BUP,0,2,0,6,0,0,3,2022
GOI,104,5355,17086,804325,111,362,3,2022
BHJ,0,44,0,2405,0,0,3,2022
DHM,0,320,0,17052,0,0,3,2022
MYQ,0,362,0,14491,0,0,3,2022
TCR,0,220,0,15124,0,0,3,2022
IXA,0,938,0,105155,0,294,3,2022
KNU,0,196,0,24806,0,12,3,2022
AMD,695,4177,98044,556316,4891,3496,3,2022
TEZ,0,50,0,462,0,0,3,2022
SLV,0,138,0,269,0,0,3,2022
HSS,0,4,0,14,0,0,3,2022
MAA,2155,7763,274197,1016286,24485,7866,3,2022
VGA,44,1064,5365,69329,0,131,3,2022
IXP,0,0,0,0,0,0,3,2022
DBR,0,324,0,47071,0,4,3,2022
VOBG,0,43,0,234,0,0,3,2022
IXC,28,2312,4627,291857,0,1110,3,2022
GOP,0,588,0,56655,0,0,3,2022
BLR,1537,14863,169533,1974561,23843,12266,3,2022
SDW,0,62,0,3718,0,0,3,2022
PAB,0,66,0,2498,0,0,3,2022
VDY,0,6,0,115,0,0,3,2022
DIB,0,612,0,63528,0,87,3,2022
IXD,0,712,0,54026,0,0,3,2022
UDR,0,929,0,117562,0,18,3,2022
PNY,0,16,0,822,0,0,3,2022
IXK,0,2,0,0,0,0,3,2022
IXY,0,148,0,10588,0,0,3,2022
DMU,0,591,0,24059,0,139,3,2022
VAMA,0,0,0,0,0,0,3,2022
IXG,0,514,0,30467,0,1,3,2022
IXJ,0,1300,0,154352,0,123,3,2022
GBI,0,190,0,9117,0,0,3,2022
IXI,0,126,0,4035,0,1,3,2022
KBK,2,54,26,3052,0,0,3,2022
IXM,90,690,13125,62729,37,102,3,2022
CCU,825,10157,64535,1319040,4095,9296,3,2022
IXR,0,1504,0,191551,0,472,3,2022
SSE,0,0,0,0,0,0,3,2022
JRG,0,382,0,28630,0,4,3,2022
VNS,63,1688,8382,210811,2,347,3,2022
GAY,7,78,526,7509,0,0,3,2022
BDQ,0,597,0,83466,0,128,3,2022
JAI,169,3146,26464,373550,12,1372,3,2022
PGH,0,160,0,2662,0,0,3,2022
COK,1868,2361,294641,322650,4284,1058,3,2022
RPR,0,1670,0,175434,0,478,3,2022
PAT,0,2459,0,312097,0,1060,3,2022
IXB,0,1726,0,233720,0,647,3,2022
TRZ,463,344,60411,22643,555,0,3,2022
CJB,81,1187,10214,170436,85,743,3,2022
AGX,0,158,0,4239,0,4,3,2022
DIU,0,92,0,4088,0,0,3,2022
HYD,1444,10870,199158,1383842,7148,5856,3,2022
LKO,567,2766,77396,324782,256,1160,3,2022
IDR,9,2041,1254,218153,8,859,3,2022
ISK,0,110,0,3488,0,0,3,2022
IXZ,0,722,0,77724,0,446,3,2022
NDC,0,16,0,1508,0,0,3,2022
KJB,0,104,0,3401,0,0,3,2022
DEL,6198,28644,983728,4092573,52551,27910,3,2022
LUH,0,6,0,19,0,0,3,2022
CDP,0,38,0,752,0,0,3,2022
KQH,0,244,0,14497,0,0,3,2022
JLR,0,583,0,38641,0,0,3,2022
BEK,0,144,0,15807,0,0,3,2022
SXV,0,0,0,0,0,0,3,2022
VTZ,29,1592,1645,173048,1,605,3,2022
IXU,0,292,0,31177,0,94,3,2022
SHL,0,254,0,10319,0,0,3,2022
KTU,0,0,0,0,0,0,3,2022
VAJJ,0,1680,0,10951,0,31,3,2022
JLG,0,4,0,23,0,0,3,2022
JGB,0,124,0,5226,0,0,3,2022
RJA,0,638,0,28198,0,1,3,2022
CNN,438,557,64131,31668,370,7,3,2022
TIR,0,858,0,78063,0,15,3,2022
JDH,0,710,0,88617,0,0,3,2022
IMF,0,939,0,96436,0,676,3,2022
AGR,0,126,0,9993,0,0,3,2022
BOM,3967,17452,538586,2490422,49468,19810,3,2022
PBD,0,8,0,417,0,0,3,2022
PYG,0,108,0,7371,0,0,3,2022
IXX,0,2,0,44,0,0,3,2022
KUU,0,86,0,2010,0,0,3,2022
SAG,0,412,0,49757,0,37,3,2022
JGA,0,118,0,9357,0,0,3,2022
BHU,0,88,0,2624,0,0,3,2022
BHO,0,1074,0,96264,0,207,3,2022
CCJ,1159,434,172255,39049,811,0,3,2022
BBI,0,2078,0,280156,0,996,3,2022
STV,19,1371,2979,111489,0,655,3,2022
RUP,0,82,0,2862,0,0,3,2022
BKB,0,62,0,2428,0,0,3,2022
KLH,0,190,0,9530,0,0,3,2022
AJL,0,330,0,29472,0,25,3,2022
NNS,0,44,0,74,0,0,3,2022
GWL,0,466,0,21403,0,0,3,2022
TRV,949,679,121343,94557,1164,166,3,2022
NAG,52,1579,3334,198263,3,602,3,2022
VIDD,0,0,0,0,0,0,3,2022
AIP,0,0,0,0,0,0,3,2022
RAJ,0,560,0,62208,0,47,3,2022
IXC,0,947,0,100691,0,416,4,2014
BLR,1627,8533,229188,889526,12581,7643,4,2014
CCJ,1095,242,190436,26072,1990,6,4,2014
IXA,0,666,0,61777,0,480,4,2014
AMD,647,2619,85775,276721,1443,3200,4,2014
CJB,76,1212,9592,94270,76,556,4,2014
DED,0,436,0,34840,0,0,4,2014
GAU,34,2308,508,181599,3,644,4,2014
TIR,0,195,0,16926,0,0,4,2014
COK,2014,1980,320827,185429,4425,890,4,2014
RPR,0,867,0,69860,0,266,4,2014
JDH,0,264,0,24158,0,1,4,2014
PAT,0,894,0,90637,0,385,4,2014
IXB,64,852,3012,87887,0,184,4,2014
SXR,0,1506,0,227402,0,315,4,2014
IMF,0,420,0,47445,0,320,4,2014
RAJ,0,246,0,26153,0,10,4,2014
TRZ,630,120,80859,5896,420,0,4,2014
BDQ,0,516,0,58940,0,202,4,2014
HYD,1450,6154,204867,520019,4449,3086,4,2014
LKO,194,1605,35117,156016,120,225,4,2014
IXE,250,604,42069,65699,25,21,4,2014
ATQ,210,626,32390,74265,20,18,4,2014
DIB,0,248,0,29041,0,17,4,2014
BOM,6016,15876,878097,1891997,38571,14910,4,2014
IDR,0,1238,0,94281,0,481,4,2014
PNQ,80,2420,9364,293163,0,1787,4,2014
IXZ,0,752,0,65316,0,240,4,2014
UDR,0,484,0,35806,0,0,4,2014
IXL,0,294,0,32513,0,202,4,2014
BHO,0,536,0,25715,0,62,4,2014
GOI,386,2258,56797,290881,123,243,4,2014
BBI,0,1004,0,105306,0,441,4,2014
DEL,7020,18113,1030627,2161741,34623,17313,4,2014
IXJ,0,832,0,80183,0,129,4,2014
IXM,159,595,16366,44346,0,96,4,2014
CCU,1253,6499,134661,690037,3496,6919,4,2014
IXR,0,692,0,43361,0,237,4,2014
MAA,2883,7242,356351,689365,18427,5997,4,2014
VTZ,96,954,5338,81750,0,188,4,2014
IXU,0,394,0,38747,0,84,4,2014
TRV,1186,718,176950,82413,2085,126,4,2014
NAG,32,804,3343,88334,29,536,4,2014
VNS,41,742,2109,71118,0,33,4,2014
GAY,4,88,476,3580,0,0,4,2014
JAI,219,1439,29268,135376,40,68,4,2014
GAU,46,2294,2347,216580,1,1059,4,2015
SXR,0,1322,0,178465,0,401,4,2015
HBX,0,38,0,1535,0,0,4,2015
IXE,372,718,55806,73894,75,16,4,2015
PNQ,168,3022,17880,401146,0,2110,4,2015
DED,0,460,0,38635,0,9,4,2015
JRH,0,60,0,5019,0,1,4,2015
IXL,0,272,0,32872,0,170,4,2015
BHJ,0,148,0,13252,0,2,4,2015
DHM,0,120,0,5307,0,0,4,2015
MYQ,0,0,0,0,0,0,4,2015
TCR,0,78,0,4895,0,2,4,2015
IXA,0,558,0,71104,0,447,4,2015
KNU,0,0,0,0,0,0,4,2015
MAA,2844,6929,387734,843560,18095,7022,4,2015
VGA,0,506,0,30492,0,0,4,2015
IXC,0,1057,0,124387,0,382,4,2015
GOP,0,0,0,0,0,0,4,2015
BLR,1741,9702,267429,1208706,14300,8922,4,2015
DIB,0,398,0,27002,0,42,4,2015
UDR,0,454,0,39338,0,5,4,2015
DMU,0,78,0,6425,0,33,4,2015
IXG,0,144,0,8481,0,0,4,2015
IXJ,0,856,0,94013,0,170,4,2015
IXM,163,477,19207,38055,0,52,4,2015
IXR,0,602,0,57653,0,351,4,2015
SSE,0,0,0,0,0,0,4,2015
VNS,46,782,2674,82756,2,62,4,2015
GAY,63,80,6066,3393,0,0,4,2015
BDQ,0,518,0,65429,0,166,4,2015
JAI,215,1572,28569,183831,118,242,4,2015
PGH,0,34,0,823,0,0,4,2015
COK,2304,2076,356044,246846,4357,955,4,2015
PAT,3,1198,0,128530,0,443,4,2015
IXB,42,746,3248,96691,0,0,4,2015
TRZ,654,176,90469,8773,628,0,4,2015
AGX,0,184,0,3583,0,0,4,2015
DIU,0,54,0,2032,0,0,4,2015
HYD,1611,6269,237196,698406,5068,3894,4,2015
LKO,298,1434,45337,193795,203,175,4,2015
IDR,0,1254,0,141519,0,509,4,2015
IXZ,8,907,29,76550,0,245,4,2015
DEL,6977,19374,1086469,2592177,41852,23227,4,2015
JLR,0,154,0,9418,0,0,4,2015
VTZ,116,1176,7840,111920,0,91,4,2015
IXU,0,248,0,23806,0,115,4,2015
VAJJ,0,2048,0,15070,0,32,4,2015
RJA,0,516,0,12407,0,0,4,2015
TIR,0,350,0,19438,0,0,4,2015
JDH,0,250,0,22601,0,1,4,2015
IMF,0,424,0,52793,0,323,4,2015
AGR,0,15,0,444,0,0,4,2015
BOM,6206,17304,923386,2418961,42023,16981,4,2015
PBD,0,58,0,1225,0,0,4,2015
KUU,0,150,0,2046,0,0,4,2015
JGA,0,64,0,6054,0,10,4,2015
BHO,0,566,0,47888,0,90,4,2015
CCJ,1253,306,214645,31423,2386,26,4,2015
BBI,0,1109,0,139794,0,570,4,2015
STV,0,332,0,4570,0,0,4,2015
AJL,0,225,0,13724,0,26,4,2015
TRV,1222,692,188270,88811,2157,61,4,2015
NAG,54,1120,3892,114677,43,471,4,2015
RAJ,0,410,0,37245,0,12,4,2015
IXS,0,328,0,17258,0,23,4,2015
ATQ,208,550,25976,71572,33,12,4,2015
HJR,0,93,0,4502,0,0,4,2015
GOI,312,2285,40840,326321,96,315,4,2015
AMD,816,2803,116121,380196,1504,3534,4,2015
IXD,0,114,0,5355,0,0,4,2015
IXI,0,0,0,0,0,0,4,2015
CCU,1612,6821,171399,803053,3525,7055,4,2015
RPR,0,810,0,97717,0,332,4,2015
CJB,78,1432,10394,130271,93,563,4,2015
BHU,0,238,0,4575,0,1,4,2015
SHL,0,50,0,1293,0,0,4,2015
GWL,0,26,0,743,0,0,4,2015
GAU,35,2666,1791,257877,0,1288,4,2016
IXS,0,204,0,13538,0,21,4,2016
SXR,0,1652,0,237565,0,460,4,2016
HBX,0,100,0,4419,0,0,4,2016
RDP,0,50,0,1787,0,0,4,2016
IXE,380,872,59615,116629,56,38,4,2016
ATQ,295,602,36292,84005,64,22,4,2016
PNQ,170,3438,21128,490436,0,2794,4,2016
DED,0,769,0,70431,0,7,4,2016
JRH,0,68,0,4112,0,7,4,2016
HJR,0,86,0,5088,0,0,4,2016
IXL,0,416,0,43334,0,276,4,2016
GOI,415,3148,55958,423238,106,264,4,2016
BHJ,0,154,0,14970,0,2,4,2016
DHM,0,168,0,10191,0,0,4,2016
MYQ,0,0,0,0,0,0,4,2016
TCR,0,120,0,8354,0,3,4,2016
IXA,0,636,0,86773,0,561,4,2016
KNU,0,2,0,21,0,0,4,2016
AMD,977,2852,142511,420794,2180,3207,4,2016
TEZ,0,24,0,470,0,0,4,2016
MAA,3077,8505,412670,989577,21284,7149,4,2016
VGA,0,706,0,42877,0,0,4,2016
IXC,0,1042,0,118855,0,507,4,2016
GOP,0,50,0,3102,0,0,4,2016
BLR,1953,12484,308127,1485502,15882,8720,4,2016
DIB,0,223,0,24721,0,57,4,2016
IXD,0,60,0,3448,0,0,4,2016
UDR,0,725,0,80303,0,1,4,2016
PNY,0,0,0,0,0,0,4,2016
DMU,0,216,0,9802,0,9,4,2016
VAMA,0,0,0,0,0,0,4,2016
IXG,0,130,0,8113,0,0,4,2016
IXJ,0,1024,0,92784,0,159,4,2016
IXI,0,32,0,708,0,0,4,2016
IXM,180,773,23648,59922,0,68,4,2016
CCU,1693,7230,188540,898519,4096,7976,4,2016
IXR,0,600,0,64797,0,314,4,2016
VNS,32,1161,3860,143011,0,110,4,2016
GAY,83,80,7230,5587,0,0,4,2016
BDQ,0,667,0,88713,0,223,4,2016
JAI,275,2169,33140,246699,189,963,4,2016
PGH,0,54,0,1100,0,0,4,2016
COK,2461,2178,427731,286164,5839,1041,4,2016
RPR,0,852,0,106633,0,325,4,2016
PAT,0,1202,0,160930,0,342,4,2016
IXB,32,782,2285,101071,0,0,4,2016
TRZ,630,250,94795,12474,552,2,4,2016
CJB,80,1522,11345,142251,98,542,4,2016
AGX,0,120,0,2524,0,0,4,2016
DIU,0,34,0,1687,0,0,4,2016
HYD,1835,7926,272076,852645,5179,3761,4,2016
LKO,485,1759,54912,238172,241,124,4,2016
IDR,0,1073,0,139700,0,580,4,2016
IXZ,0,956,0,93885,0,400,4,2016
NDC,0,0,0,0,0,0,4,2016
DEL,7812,23461,1171259,3271591,43603,21969,4,2016
CDP,0,28,0,481,0,0,4,2016
JLR,0,164,0,12250,0,0,4,2016
VTZ,116,1348,8200,172444,0,483,4,2016
IXU,0,308,0,25502,0,115,4,2016
SHL,0,42,0,1005,0,0,4,2016
VAJJ,0,1786,0,14160,0,35,4,2016
RJA,0,564,0,23307,0,0,4,2016
TIR,0,472,0,37482,0,0,4,2016
JDH,0,240,0,24270,0,1,4,2016
IMF,0,514,0,70453,0,295,4,2016
AGR,0,34,0,1021,0,0,4,2016
BOM,6546,18626,974081,2653397,42184,17632,4,2016
PBD,0,0,0,0,0,0,4,2016
KUU,0,78,0,2759,0,0,4,2016
JGA,0,60,0,8342,0,8,4,2016
BHU,0,20,0,589,0,0,4,2016
BHO,0,596,0,59264,0,77,4,2016
CCJ,1132,288,174248,34029,1014,26,4,2016
BBI,0,1200,2604,161521,0,635,4,2016
STV,0,160,0,13045,0,0,4,2016
AJL,0,232,0,15677,0,39,4,2016
GWL,0,34,0,1468,0,0,4,2016
TRV,1367,950,202132,122266,1856,99,4,2016
NAG,114,1138,8672,130391,39,408,4,2016
RAJ,0,302,0,29021,0,12,4,2016
GAU,36,3419,2105,369806,0,2424,4,2017
IXS,0,362,0,24446,0,32,4,2017
SXR,0,1640,0,215418,0,423,4,2017
HBX,0,44,0,1386,0,0,4,2017
RDP,0,118,0,1548,0,0,4,2017
IXE,442,804,69238,85807,142,43,4,2017
ATQ,319,840,45119,110531,106,46,4,2017
JSA,0,0,0,0,0,0,4,2017
PNQ,180,3764,25028,580176,0,2771,4,2017
DED,0,927,0,89679,0,14,4,2017
JRH,0,70,0,6388,0,7,4,2017
HJR,0,82,0,3205,0,0,4,2017
IXL,0,350,0,42346,0,76,4,2017
BUP,0,24,0,871,0,0,4,2017
GOI,376,3759,62653,528104,123,245,4,2017
BHJ,0,50,0,5056,0,1,4,2017
DHM,0,202,0,11326,0,0,4,2017
TCR,0,122,0,8105,0,0,4,2017
IXA,0,782,0,102567,0,507,4,2017
KNU,0,28,0,798,0,0,4,2017
AMD,1094,3905,135687,545094,3110,4044,4,2017
TEZ,0,26,0,776,0,0,4,2017
SLV,0,18,0,172,0,0,4,2017
MAA,2927,9294,426148,1187664,24366,8170,4,2017
VGA,0,877,0,54659,0,0,4,2017
IXC,82,1792,12210,200912,0,621,4,2017
GOP,0,180,0,11822,0,0,4,2017
BLR,2009,10471,302729,1504943,17259,9017,4,2017
DIB,0,226,0,27721,0,48,4,2017
IXD,0,62,0,3637,0,0,4,2017
UDR,0,665,0,77066,0,1,4,2017
DMU,0,110,0,14206,0,47,4,2017
VAMA,0,0,0,0,0,0,4,2017
IXG,0,128,0,8581,0,0,4,2017
IXJ,0,1070,0,113247,0,165,4,2017
IXI,0,40,0,1104,0,0,4,2017
IXM,180,894,23269,97285,1,95,4,2017
CCU,1750,10002,197231,1268187,4891,7858,4,2017
IXR,0,956,0,107574,0,517,4,2017
VNS,68,838,9949,128153,0,75,4,2017
GAY,71,59,5596,3293,0,0,4,2017
BDQ,0,593,0,77708,0,169,4,2017
JAI,320,2565,41083,302200,233,836,4,2017
PGH,0,46,0,1696,0,0,4,2017
COK,2554,2743,463746,342550,5940,1135,4,2017
RPR,0,738,0,101501,0,325,4,2017
PAT,2,1648,0,220340,0,621,4,2017
IXB,36,1266,2132,186293,0,225,4,2017
TRZ,760,182,107959,9429,622,0,4,2017
CJB,88,1495,12321,171649,67,740,4,2017
AGX,0,104,0,2888,0,1,4,2017
DIU,0,34,0,1559,0,0,4,2017
HYD,1887,9879,278872,1080938,6170,4282,4,2017
LKO,413,2287,57174,289634,183,259,4,2017
IDR,0,1380,0,169658,0,777,4,2017
IXZ,4,1128,12,121073,0,396,4,2017
NDC,0,10,0,269,0,0,4,2017
DEL,8613,26071,1309169,3710715,55131,23864,4,2017
LUH,0,0,0,0,0,0,4,2017
CDP,0,2,0,41,0,0,4,2017
JLR,0,310,0,17404,0,1,4,2017
VTZ,117,1515,9181,187247,0,427,4,2017
IXU,0,306,0,25547,0,110,4,2017
SHL,0,48,0,1309,0,0,4,2017
VAJJ,0,1963,0,17302,0,36,4,2017
RJA,0,702,0,20627,0,0,4,2017
